,gridsize,no_mines,time,evaluations,games_won,games_lost,type,win_rate
1,10,5,0.19793031500000002,2259,92,8,bfs,0.92
2,10,5,0.27661811000000003,2793,97,3,dfs,0.97
3,10,6,0.27185842399999993,3254,95,5,bfs,0.95
4,10,6,0.33124256499999993,4474,100,0,dfs,1
5,10,10,0.6337398549999997,7842,85,15,bfs,0.85
6,10,10,0.649957815,8832,82,18,dfs,0.82
7,10,20,0.7790102299999999,10413,23,77,bfs,0.23
8,10,20,0.9625894410000004,13432,13,87,dfs,0.13
9,20,20,1.8826163440000006,13836,99,1,bfs,0.99
10,20,20,3.357283948000001,35507,97,3,dfs,0.97
11,20,26,3.199026077000001,25609,94,6,bfs,0.94
12,20,26,5.517077178999999,57472,95,5,dfs,0.95
13,20,40,7.557640881000001,53712,88,12,bfs,0.88
14,20,40,12.892894098999996,112478,85,15,dfs,0.85
15,20,80,15.097217068999996,91527,17,83,bfs,0.17
16,20,80,23.496323393999994,157726,11,89,dfs,0.11
17,30,45,8.22259400099999,41384,98,2,bfs,0.98
18,30,45,23.729716178000004,171363,100,0,dfs,1
19,30,60,17.587543127999993,69476,97,3,bfs,0.97
20,30,60,43.177359886000005,284698,97,3,dfs,0.97
21,30,90,44.03472807699998,153458,86,14,bfs,0.86
22,30,90,113.460350087,580685,93,7,dfs,0.93
23,30,180,129.739993803,385028,13,87,bfs,0.13
24,30,180,239.23720763600005,664508,12,88,dfs,0.12
25,40,80,27.969040913999947,84167,95,5,bfs,0.95
26,40,80,96.84381431300005,487031,100,0,dfs,1
27,40,106,58.49019286600003,134699,92,8,bfs,0.92
28,40,106,191.6224326439999,840317,96,4,dfs,0.96
29,40,160,178.945056711,331915,88,12,bfs,0.88
30,40,160,502.7797487349999,1645763,89,11,dfs,0.89
31,40,320,596.968282673,1005748,13,87,bfs,0.13
32,40,320,850.159850086,1682768,9,91,dfs,0.09
